4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
9,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,9,9,9
9,11,9,3,2,9,9,9,2,2,2,9,9,9,2,3,9,7,9
9,9,9,3,2,9,7,9,2,2,2,9,11,9,2,3,9,9,9
2,2,2,3,2,9,9,9,2,2,2,9,9,9,2,3,2,2,2
8,8,8,3,8,8,8,8,8,3,8,8,8,8,8,3,8,8,8
8,8,8,3,8,8,8,8,8,3,8,8,8,8,8,3,8,8,8
8,8,8,3,8,8,8,8,8,3,8,8,8,8,8,3,8,8,8
8,8,8,3,8,8,8,8,8,3,8,8,8,8,8,3,8,8,8
5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5
5,5,5,7,5,5,5,5,5,3,5,5,5,5,5,10,5,5,5
6,6,11,11,11,6,6,6,6,3,6,6,6,6,11,11,11,6,6
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
