4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,11,11,2,4,2,4,2,4,2,3,2,4,3,3
2,2,2,2,2,3,11,3,3,3,3,3,3,3,3,2,2,2,3
2,3,3,11,2,11,3,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,3,2,2,2,2,1,11,2,3,3,3,3,3,3,3,2
2,11,9,3,3,3,3,2,11,11,2,2,2,2,2,2,2,2,2
3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,3
8,8,8,11,3,8,8,8,3,3,8,3,3,3,8,1,3,11,11
8,3,11,11,3,8,3,8,8,8,8,8,8,3,3,3,3,3,11
8,8,3,3,3,8,11,8,3,3,3,3,8,8,11,8,8,8,11
11,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,11,8,11
11,5,3,3,5,3,3,5,3,3,5,3,3,5,3,5,3,5,3
11,7,5,5,5,5,5,10,5,5,5,5,5,5,5,5,5,7,5
11,6,11,11,11,11,3,3,11,6,9,3,6,3,3,6,3,6,3
