4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,2,2,3,3,3,2,2,3,3,3,3,3,3
2,2,2,2,2,3,2,2,9,9,9,2,2,3,2,2,2,2,2
2,2,2,10,2,3,2,2,2,2,2,2,2,3,2,7,2,2,2
9,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,9
11,8,8,8,8,3,8,8,8,7,8,8,8,3,8,8,8,8,11
8,8,8,8,3,3,8,8,8,8,8,8,8,3,3,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,5,7,5,3,3,3,3,3,3,3,3,3,3,3,5,9,5,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
