4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
11,2,11,2,11,2,2,4,4,4,7,4,4,9,4,4,3,3,3
2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,4,11
11,2,11,2,11,3,2,2,2,2,2,9,2,2,3,2,2,2,3
2,1,2,1,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2
11,11,11,3,8,2,2,2,2,2,8,8,3,8,8,8,3,8,3
11,11,3,8,8,1,8,8,9,8,8,3,8,8,10,8,3,8,8
11,3,8,8,8,8,8,8,8,8,3,8,8,8,8,11,3,8,3
3,8,8,1,8,8,9,8,8,3,8,8,8,8,8,8,3,8,8
5,5,5,5,8,8,5,5,3,5,5,5,5,5,5,5,3,5,3
5,1,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,5,5
5,5,5,5,5,9,5,5,3,5,9,5,3,3,1,5,3,5,3
7,6,5,5,5,6,6,3,3,6,6,3,3,3,6,6,3,7,6
6,6,6,6,6,6,3,3,3,6,3,3,3,3,6,6,3,6,3
