4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,2,3,2,11,2,3,2,3,2,3,2,1,2,3,2,3,2,3
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,2,11,2,3,2,11,2,3,2,1,2,3,2,7,2,3,2,9
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,8,3,8,3,8,3,8,11,8,3,8,9,8,3,8,9,8,3
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
3,8,3,8,3,8,1,8,7,8,11,8,3,8,9,8,3,8,3
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
3,5,3,5,1,5,3,5,3,5,3,5,11,5,3,5,9,5,10
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,5,7,5,3,5,3,5,3,5,9,5,3,5,11,5,3,5,9
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3,6,3,6,3,6,3,6,3,6,3,6,3,6,3,6,11,6,3
